Date : 2023-01-12 15:37:51
Directory : /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys
Total : 183 files,  39970 codes, 4814 comments, 2903 blanks, all 47687 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/dropeyeleft.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/dropeyeright.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/flower.svg                               | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/flower_in.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/flurry.svg                               | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/leaf.svg                                 | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/rounded.svg                              | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/sdoz.svg                                 | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/squarecircle.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/vortex.svg                               | XML        |          2 |          0 |          0 |          2 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/balloon-bottom.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/balloon-top.svg                           | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/bottom.svg                                | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/cine.svg                                  | XML        |          2 |          0 |          0 |          2 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/none.svg                                  | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/phone.svg                                 | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/ribbon-bottom.svg                         | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/ribbon-top.svg                            | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/top.svg                                   | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/9-dots-fat.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/9-dots.svg                              | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/bruised.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/circle.svg                              | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/cross.svg                               | XML        |          1 |          0 |          0 |          1 |
