"filename", "language", "PHP", "comment", "blank", "total"
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-redsys.php", "PHP", 3, -14, 1, -10
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/blocks.php", "PHP", 0, 3, 0, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/paygold-page.php", "PHP", 0, 2, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/private-products.php", "PHP", 4, 0, 0, 4
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/thank-you-checks.php", "PHP", 0, 6, 0, 6
"Total", "-", 7, -3, 2, 6
